,word,i,def
583,Unique,5,"Extraordinarily, exceptionally or wonderfully rare"
584,Unique,6,Inconceivable or mind-boggling
585,Unique,7,"Modern, unfamiliar, or different"
586,Unique,8,Differing from or in conflict with each other
587,Unique,9,Inspiring or feeling hope and optimism
588,Unique,10,"Unique, such that it cannot be mistaken for something else"
589,Unique,11,Belonging or relating exclusively or distinctively to
590,Unique,12,Holding one's attention
591,Unique,13,(rare) Something unequaled or unparalleled
592,Thorough,0,Complete with regard to every detail
593,Thorough,1,Performed or written with great care and completeness
594,Thorough,2,To an absolute degree
595,Thorough,3,Accurate or correct in all details
596,Thorough,4,"Firmly established and unlikely to change, especially of a habit or belief"
597,Thorough,5,Not expurgated
598,Thorough,6,Arranged or carried out with a planned or organized method or procedure
599,Thorough,7,"Detailed and complicated in design and planning, involving many carefully arranged elements"
600,Thorough,8,Done competently but without flair
601,Thorough,9,"Extremely great, severe, or impressive"
602,Thorough,10,Deeply investigatory or exploratory in nature
603,Thorough,11,Implanted within the body
604,Thorough,12,"Having, showing, or done with good judgment or sense"
605,Thorough,13,"Making great demands on one's skill, attention, or other resources"
606,Structured,0,Organized or planned in a structured manner
607,Structured,1,Designed or defined in a structured manner
608,Structured,2,(of a system) Capable of maximizing productivity at no expense of extra resources
609,Structured,3,To have created or formed something
610,Structured,4,To have set up on a long-term basis
611,Coherent,0,Able to be understood or comprehended
612,Coherent,1,Expressed in a fluent or articulate manner
613,Coherent,2,"Based on, or displaying, common sense, logic, or rationality"
614,Coherent,3,"Consistent, compatible, or in agreement with"
615,Coherent,4,(of a system) Capable of maximizing productivity at no expense of extra resources
616,Coherent,5,Having or showing good sense or judgment
617,Coherent,6,With various parts or aspects linked or coordinated
618,Coherent,7,Free from defect or error
619,Coherent,8,Sticking together
620,Impartial,0,"Treating all parties, rivals, or disputants equally"
621,Impartial,1,Showing a lack of interest or care
622,Impartial,2,Having sound or fair judgment based on good sense
623,Impartial,3,Of judges or the administration of justice
624,Impartial,4,Wavering in one's opinion
625,Impartial,5,Totally fairly and undoubtedly
626,Tireless,0,"Indefatigable, untiring, or inexhaustible"
627,Tireless,1,"Hard-working, diligent or regular (in attendance or work)"
628,Tireless,2,"Full of life, spirit and energy"
629,Tireless,3,Continuing over a (usually extended) period of time
630,Tireless,4,Incapable of being tired
631,Tireless,5,"Hectic, full of work or activities"
632,Diplomatic,0,Having or showing an ability to deal with people in a sensitive and tactful way
633,Diplomatic,1,Of or concerning diplomacy
634,Diplomatic,2,"Marked by charm, confidence and elegance"
635,Diplomatic,3,Dignified or diplomatic in one's dealing with others
636,Diplomatic,4,Relating to the government or public affairs of a country
637,Diplomatic,5,Acting or tending to diminish or avoid conflict or hostility
638,Diplomatic,6,Deemed acceptable or appropriate by society
639,Diplomatic,7,Of or pertaining to euphemism
640,Diplomatic,8,Inclined to avoid conflict or aggression
641,Diplomatic,9,"Of, relating to, or involving two or more governments"
642,Diplomatic,10,Awe-inspiring
643,Diplomatic,11,Having or displaying an appreciation of the feelings of others
644,Diplomatic,12,Following the established standards of behavior or manners
645,Diplomatic,13,Relating to the identification of long-term goals and the means of achieving them
646,Diplomatic,14,Of having a good-natured or casual personality
647,Charming,0,Pleasantly appealing or attractive
648,Charming,1,(of a person) Having a charismatic and likable manner or personality
649,Charming,2,Having charming good looks
650,Charming,3,"Friendly, good-natured, or easy to talk to"
651,Charming,4,Causing laughter and providing entertainment
652,Charming,5,"Which attempts to bring oneself into the favour of another, often with flattery or insincerity"
653,Charming,6,Much loved
654,Charming,7,Having a persuasive effect
655,Charming,8,To be arousing someone
656,Charming,9,Causing of amazement
657,Charming,10,"Present participle for to delight greatly, especially with a performance"
658,Charming,11,"Present participle for to convince, influence or obtain using personal charm"
659,Charming,12,Present participle for to cause someone to feel attraction by personal charm
660,Charming,13,Present participle for to cast a magical charm or spell on
661,Skilled,0,Having or showing (great) skill
662,Skilled,1,Involving or characterized by scholarship
663,Skilled,2,Able to deal with people in a sensitive manner
664,Skilled,3,Having all its feathers
665,Ideal,0,Being the most suitable
666,Ideal,1,"Of, involving, or existing only as a fanciful idea"
667,Ideal,2,Representing an abstract or hypothetical optimum
668,Ideal,3,Being a representative model of
669,Ideal,4,Appropriate or suitable in the circumstances
670,Ideal,5,"Extraordinarily, exceptionally or wonderfully rare"
671,Ideal,6,Exceptional or superior beyond the ordinary
672,Ideal,7,"Of great excellence, grandeur or beauty"
673,Ideal,8,Preferred to all others of the same kind
674,Ideal,9,Having great physical beauty
675,Ideal,10,Inspiring or feeling hope and optimism
676,Ideal,11,A model by which others are compared and aspire to
677,Ideal,12,A person or thing that is a perfect example of a particular quality or type
678,Ideal,13,A standard or principle to be aimed at
679,Ideal,14,An aim or end result that one hopes to achieve
680,Ideal,15,Moral principles that govern the conduct of a person or organization
681,Ideal,16,A woman who is greatly admired for her accomplishments
682,Ideal,17,A world in which everything and everyone works in perfect harmony
683,Ideal,18,"Something that is wished for, or considered desirable"
684,Ideal,19,"Something that exhibits exceptional quality, something worth being shown"
685,Ideal,20,A set of principles or beliefs
686,Ideal,21,"A vivid mental image, especially a fanciful one of the future"
687,Ideal,22,A person of major significance
688,Ideal,23,"Morality, generally or collectively"
689,Ideal,24,A action or task to be performed
690,Smooth,0,"Having an even surface with no roughness, bumps, or holes"
691,Smooth,1,Having a glossy finish
692,Smooth,2,Having a very fine texture to touch
693,Smooth,3,Free from interruptions or stoppages
694,Smooth,4,Without obstructions or difficulties
695,Smooth,5,"Polite, elegant, and sophisticated in manner"
696,Smooth,6,Not harsh in taste
697,Smooth,7,(of voice or tone) Sweet or melodious to the ear
698,Smooth,8,(of a body of water) Placid and undisturbed
699,Smooth,9,"Having a smooth texture or consistency, free from lumps"
700,Smooth,10,"Lacking in, or devoid of, hair"
701,Smooth,11,Excessive in obsequious praise or flattery
702,Smooth,12,Moving gracefully with ease
703,Smooth,13,"Showing or having skill, especially with the hands"
704,Smooth,14,Having or being a slippery surface
705,Smooth,15,Able to persuade or convince
706,Smooth,16,Clever at achieving one's aims by indirect or deceitful methods
707,Smooth,17,"Fluent and easy, often in an insincere or deceptive way"
708,Smooth,18,"Having or showing keen discernment, sound judgment, and farsightedness"
709,Smooth,19,Without wrinkles or ruffles
710,Smooth,20,Tending to talk a lot
711,Smooth,21,Not blocked
712,Smooth,22,Designed or configured to run smoothly or efficiently
713,Smooth,23,Having a streamlined design or structure
714,Smooth,24,Characterized by a lack of sincerity
715,Smooth,25,Well-defined and pleasing in shape or form
716,Smooth,26,(slang) Smart in appearance
717,Smooth,27,Pressed
718,Smooth,28,"Without defects or blemishes, including freckles or knots"
719,Smooth,29,"Smooth, buttery"
720,Smooth,30,Free from defect or error
721,Smooth,31,Resembling moss or some aspect of it
722,Smooth,32,Bitingly or humorously intelligent in nature
723,Smooth,33,(of sound or color) Free from anything that dulls or dims
724,Smooth,34,(of a man) Aesthetically pleasing to view or look at
725,Smooth,35,Able to be read or deciphered
726,Smooth,36,Easy or enjoyable to read
727,Smooth,37,"Very fine, thin or flimsy in structure or material"
728,Smooth,38,The pleasantness of warm and sunny weather
729,Smooth,39,"To free from breaks, curves, or bumps"
730,Smooth,40,To hasten or facilitate the progress of
731,Smooth,41,"(smooth over) To resolve, or work towards resolving an issue or conflict"
732,Smooth,42,To make smooth or glossy by applying surface pressure
733,Smooth,43,"To spend time improving one's appearance, often in front of a mirror"
734,Smooth,44,Make uniform in application or effect
735,Smooth,45,Settle differences
736,Smooth,46,To act as a mediator between two parties
737,Smooth,47,To improve in quality or accuracy
738,Smooth,48,"To apply massage or knead, especially with one's hands"
739,Smooth,49,To apply as a coating
740,Smooth,50,To hit lightly and repeatedly with to make flat or to change the shape of
741,Smooth,51,To apply a substance such as oil or grease to (an engine or component) so as to minimize friction and allow smooth movement
742,Smooth,52,To smear or rub over with oil or an unctuous substance
743,Smooth,53,Make uniform or similar
744,Smooth,54,"To apply a surface or layer to something, especially for protection"
745,Instrumental,0,Serving as an effective means of pursuing an aim or goal
746,Instrumental,1,"Being, or related to, a musical composition, typically without lyrics"
747,Instrumental,2,"(music) Without words or lyrics, using only instruments"
748,Instrumental,3,Producing an advantage or benefit
749,Instrumental,4,Of great or significant value
750,Instrumental,5,Exerting power over the minds or behavior of others
751,Instrumental,6,Able to be utilized
752,Instrumental,7,(of an object or situation) Significant in degree of importance or urgency
753,Instrumental,8,"Serving as an instrument or means, typically in law"
754,Instrumental,9,"A musical composition, typically written or performed without lyrics"
755,Attentive,0,Being alert or on top of things by paying close attention
756,Attentive,1,"Absorbed or engrossed, usually with something that is being presented"
757,Attentive,2,Assiduously attending to the comfort or wishes of others
758,Attentive,3,"Hard-working, diligent or regular (in attendance or work)"
759,Attentive,4,Careful and prudent in one's speech or actions
760,Attentive,5,"Accepting of one's legal or moral obligations and willing to do them well, and without complaint"
761,Attentive,6,"Tending to ask questions or to investigate, typically for information or knowledge"
762,Attentive,7,Loving and affectionate towards (someone) in a close relationship
763,Attentive,8,Having or displaying an appreciation of the feelings of others
764,Attentive,9,Very loyal in nature
765,Attentive,10,Ready and willing
766,Attentive,11,Devoted completely to one object
767,Attentive,12,Involved in a given matter
768,Attentive,13,Expressing or involving deep thought
769,Attentive,14,Continuing stubbornly or tenaciously despite challenges
770,Attentive,15,On the ball
